key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,"practice_reward_seq: 2,1,3",reward_Img,Cuml_rew,currentPracticeTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",text_block_break.started,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_block.ran,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",key_resp_practice_end.started,key_resp_practice_end.keys,key_resp_practice_end.rt,key_resp_practice_end.duration,text_main_instruction.started,BlockCondition,BlockOrderIndices,key_resp_main_instruction.started,key_resp_main_instruction.keys,key_resp_main_instruction.rt,key_resp_main_instruction.duration,blockNumber,blockAssignment,currentCondition,main_reward_seqs,key_resp_slots_presentation.started,key_resp_slots_presentation.keys,key_resp_slots_presentation.rt,key_resp_slots_presentation.duration,Main_presentationInterval,rewardPresentationTime,Main_reward_seq,Random value generated,Main_reward_Img,Main_Cumul_Reward,Main_currentTrialReward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
0.0005,space,1.6566,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,143.2853,v,261.1738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,404.4816,space,0.8246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,405.3147,space,18.8596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",424.2019,up,2.9788,,1.5,,stimuli/card_100_transparent.png,100,100,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,429.0117,up,0.38,,1,,stimuli/card_100_transparent.png,200,100,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,430.7092,left,0.3514,,0.5,,stimuli/card_10_transparent.png,210,10,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,431.8767,up,3.487,,1,,stimuli/card_100_transparent.png,310,100,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,436.6807,right,0.6186,,0.5,,stimuli/card_0_transparent.png,310,0,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
